Tweet,Suicide,Labels
i hate myself so much i want to KILL myself how are y’all?!?! 🥴🥴,Potential Suicide post,1
"RT @DrugForumsBest: I woke up with a bag over my head after I intentionally overdosed on a conbo of 250 mg diclazepam, half a handle of bou…",Potential Suicide post,1
i wanna fucking kill myself,Potential Suicide post,1
"why do i destroy all my opportunities? am i going to kill myself on accident? if i only get worse, does that mean a… https://t.co/Ur1sapAyLo",Potential Suicide post,1
u - understand what the fuck im doing wrong with my life,Potential Suicide post,1
"Wait I take this back, I fucking hate living in Markham and I want to actually kill myself damn",Potential Suicide post,1
Bitch I'm gonna kill myself what the fuck,Potential Suicide post,1
goodnight i really want to fucking kill myself,Potential Suicide post,1
I wanna kill myself like not literally but mentally and emotionally,Potential Suicide post,1
its crazy cause i shut myself out on two ppl i been down w. soo long 💯 and ik i love them to death and i would prob…,Potential Suicide post,1
Getting blown out by the worst team in the league while they wearing these is what’s gonna be in my suicide note https://t.co/pFrF1Iol4a,Potential Suicide post,1
"@c_cannabiscafe A father, whose daughter committed suicide, saying, ""cannabis is very, very dangerous"" is an 'instr… https://t.co/iGIYBvXZdD",Potential Suicide post,1
Haven’t watched WWE since Extreme Rules. I will now begin last night’s Monday Night Raw. This is my suicide note.,Potential Suicide post,1
"@bcuban @Popehat Not a lawyer, but I was diagnosed with depression when I was 12-13. My brother swore up and down t… https://t.co/eMWrR6PBWh",Potential Suicide post,1
"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I already… https://t.co/FTr8WA8GLz",Potential Suicide post,1
RT @HanaMichels: I just found a suicide note (I'm fine) I wrote in April. Seems like my dates were wrong! This year. NBC commentators keep…,Potential Suicide post,1
About me and im serious about that. If i were to ever (i dont think i have the guts sadly) do suicide i wouldnt lea… https://t.co/0bCFEagZl1,Potential Suicide post,1
"RT @no1bihet: One day ill kill myself and my suicide note will just be some shit like ""my arms are kinda chubby. Bye""",Potential Suicide post,1
"""Suicide has now become my new world and I am desperately searching for answers. Because to those that knew him bes… https://t.co/l2nYZIdS7k",Potential Suicide post,1
"RT @RMFifthCircuit: This is truly a horrifying article.  Most of us don't have the underlying ""deep hereditary, mental health disorder"" tha…",Potential Suicide post,1
"RT @hanniepower: Today, one year ago, I lost a neighbour, and friend, to #suicide. So here is a quote that got me through my worst times. F…",Potential Suicide post,1
Big Law Killed My Husband': An Open Letter From A Sidley Partner's Widow https://t.co/fm1oCvjRYy  #Suicide #Depression #Shame,Potential Suicide post,1
"Today, one year ago, I lost a neighbour, and friend, to #suicide. So here is a quote that got me through my worst t… https://t.co/a83mtDdWsA",Potential Suicide post,1
My cousin ( recently retired 30 years in military) committed suicide the day @realDonaldTrump was elected.… https://t.co/4YX7GRVqtg,Potential Suicide post,1
"After looking at the American suicide statistics, I was shocked to see that white men in their 40s-50s lead. Right… https://t.co/ZLYTWuxVbQ",Potential Suicide post,1
RT @skupor: Incredibly sad and poignant story about suicide https://t.co/u73vm5KVxK,Potential Suicide post,1
@jessedonoe I mean.... my life is miserable so I guess light at the end of the tunnel,Potential Suicide post,1
Really fuckin want this portion of my life to be over.,Potential Suicide post,1
Unfortunately I can’t leave well enough alone and in trying… https://t.co/FCgrffTOSd,Potential Suicide post,1
"RT @mjs03093641: TWEETS  are the real life,  awkward conversation starters between strangers.",Potential Suicide post,1
"RT @shelbypie24: I saw a quote on Pinterest that said, “When I stand before God at the end of my life, I hope that I don’t have a single bi…",Potential Suicide post,1
"so like if the man I end up spending the rest of my days with aint him, I feel like im going to hate my life.",Potential Suicide post,1
When my dog does end up passing on... my life will seriously be a tumbling downwards spiral....... that’s my life. SHES my life.,Potential Suicide post,1
RT @myonlyTAEger: Knets try to describe how V looks like in real life,Potential Suicide post,1
man game of thrones is going to end next year and I'll have to wait 10 years for TWOW and ADOS to come out to get m… https://t.co/LIVsVvZC3M,Potential Suicide post,1
"I need a guidance, mentor, father figure, guardian angel or whatever fuck out there that can tell me what to do wit… https://t.co/CQip4mVgAh",Potential Suicide post,1
RT @Conteia_: I’m a fucking lunatic when I get angry it’s so terrible I need to work on this so bad before I end up doing something that fu…,Potential Suicide post,1
I’m a fucking lunatic when I get angry it’s so terrible I need to work on this so bad before I end up doing somethi… https://t.co/13FuEpPVue,Potential Suicide post,1
y do i overthink everything in my life and then make myself believe these things. i just end up disappointed or stressed ugh,Potential Suicide post,1
"RT @missmabh: I'm in desperate need of a kidney transplant &amp; need a matching live donor, I'm actually at the end of the road now so need on…",Potential Suicide post,1
At the end of the day I’m at this point in my life where I TRULY DO NOT GIVE A FUCK ! So if I give a fuck about you… https://t.co/KOngVi6Kgd,Potential Suicide post,1
"Ergo, my dreams would be crushed. What would I do then? Work a dead end job for the rest of my life and let forms o… https://t.co/QyPIHvQKMK",Potential Suicide post,1
FUCKING END MY LIFE,Potential Suicide post,1
Hi what the fuck have I been doing with my life lately?,Potential Suicide post,1
RT @axelsoup: the false information of hanyu never having to study like any other person as if he didn't have to wake up at 5AM to take ent…,Potential Suicide post,1
RT @Shen_the_Bird: doctor: i'm afraid he may never wake up from his coma,Potential Suicide post,1
my wife: on his will it says he's left all his updog to you,Potential Suicide post,1
